States	Latitude	Longitude
Al Anbar	33.42001304	43.29998205
Al Basrah	30.38916445	47.70798173
Al Muthannia	31.3098576	45.28027462
Al Qadisiyah	31.9889376	44.92396562
An Najaf	32.00033225	44.33537105
Arbil	36.1790436	44.00862097
As Sulaymaniyah	35.56127769	45.43085974
Kirkuk	35.4722392	44.3922668
Babil	32.778631	44.28999914
Baghdad	33.3386485	44.39386877
Dhi Qar	31.41752545	46.17722245
Dihok	36.86670013	43.00000263
Diyala	33.74361086	45.54635657
Karbala	32.61492006	44.02448564
Maysan	31.84160809	47.15116817
Ninawa	36.37598248	42.44974971
Sala Ad Din	34.19399705	43.87500062
Wasit	32.49071576	45.83037024
